#Table1
g,i,r,z
23.10249,21.44968,22.44305,1.000666
23.53251,20.90995,22.22229,1.000712
22.51959,21.88067,22.44489,1.001122
23.6789,22.4782,21.94195,1.000986
22.46617,20.82363,21.87967,1.000463
23.89907,20.55175,22.73738,1.00003
22.25532,20.24475,21.26065,1.000425
22.51625,21.03504,22.47143,1.000218
21.16768,20.96389,21.03601,1.000534
23.23394,21.75285,23.20535,1.001118
22.42496,21.36374,21.75166,1.000048
22.98849,22.59596,22.63326,1.000578
23.5487,22.15909,23.05429,1.000082
22.71015,21.5482,22.07376,1.000594
22.63754,20.42404,21.71666,1.000287
23.03123,21.65115,22.59623,1.000103
22.60842,21.87211,22.29392,1.000386
22.42941,21.19895,21.74592,1.000514
22.81498,22.51556,23.20905,1.000986
23.33195,20.29581,21.58393,1.000448
23.65186,21.82305,23.19376,1.00122
23.19816,22.27804,22.20279,1.000973
24.04931,21.30337,22.50075,1.001161
24.36896,21.34057,22.90857,1.000422
22.98598,22.49623,22.74855,1.000151
26.44252,20.81081,21.89153,1.000164
23.84837,21.51453,22.06571,1.00121
22.6809,21.51915,22.73365,1.000573
24.53315,24.10956,23.93415,1.000149
22.88753,21.07091,21.58622,1.000809
24.77508,23.41847,23.12892,1.000864
22.3432,21.92896,22.2094,1.000283
22.05142,21.09528,21.98223,1.000683
23.1539,22.53463,22.31572,1.000291
22.61902,22.40051,22.25615,1.000054
23.60798,23.37522,23.32954,1.000436
22.54321,21.67543,23.21372,1.000116
25.02128,22.0749,23.46261,1.001014
23.30206,20.89526,22.37967,1.000543
22.27074,20.8141,21.32319,1.001202
22.82357,21.7737,21.88896,1.000518
22.65665,20.30661,21.81076,1.000238
21.56061,21.49294,21.60037,1.000585
22.08537,21.92804,21.95901,1.000422
21.27376,21.22854,21.08098,1.000087
23.70311,21.1839,22.75404,1.000779
22.32734,20.12833,21.26136,1.000532
25.31457,21.01283,22.29155,1.000366
17.40202,16.88038,16.98111,1.000159
22.32809,20.43036,21.49687,1.001189
21.23131,20.18454,20.60304,1.000813
23.81879,20.60558,21.61904,1.000195
23.28547,21.78366,22.12195,1.001134
24.50706,21.64954,23.6126,1.000669
22.30447,20.24501,21.03551,1.000013
25.25752,21.81277,23.26591,1.000633
21.93394,21.42888,21.59906,1.000085
23.54663,20.91978,22.32602,1.000118
22.06935,20.49492,21.39899,1.000203
21.6896,19.62327,20.40098,1.000088
23.31666,21.71486,23.0444,1.000483
23.34475,20.64715,22.07374,1.000659
25.78282,21.17031,22.62109,1.000319
23.63333,20.89765,21.94014,1.001072
24.69129,21.58816,22.858,1.000379
22.278,19.67478,20.60213,1.00082
23.38261,21.80477,23.49761,1.001027
23.96734,21.5589,24.1285,1.000813
22.72244,20.56928,21.63801,1.000267
24.38931,20.84926,22.08608,1.000298
21.40554,21.05569,21.25553,1.000254
23.60663,22.62801,24.61502,1.000965
22.69704,21.16348,22.29477,1.001019
23.3418,22.67447,23.27494,1.000646
22.15766,21.79765,21.78689,1.000775
23.41899,21.74326,23.38652,1.000447
22.53505,20.69361,21.7203,1.000203
22.57267,21.55039,22.24818,1.000174
22.75904,22.84745,22.75565,1.000425
24.5904,20.82497,22.29233,1.000585
23.58253,21.87953,23.02442,1.000226
22.3706,21.66752,22.76583,1.000067
21.74021,20.71334,21.16667,1.000376
22.74539,21.47318,22.33795,1.000274
25.15127,20.6556,22.33961,1.000174
23.49353,20.17046,21.50817,1.001005
22.74972,21.47802,22.01752,1.000461
23.0179,21.85076,22.50497,1.001171
23.12333,21.19783,22.1912,1.001166
23.35628,20.41178,21.68835,1.000598
22.60452,19.20083,20.245,1.000783
22.38894,22.0529,22.04755,1.000248
21.61034,19.16303,19.97464,1.000409
22.64727,21.03271,21.79361,1.00116
23.47608,22.01656,23.02984,1.001023
21.65802,21.65766,21.75322,1.0012
26.11795,21.21223,22.92562,1.000263
22.76566,21.7991,22.38845,1.000833
23.16285,21.39601,22.56275,1.000972
22.92896,21.52001,23.13997,1.000073
22.65169,21.63622,22.17786,1.001163
22.22003,21.48553,22.65321,1.000386
22.44678,20.95361,21.75201,1.00055
21.74945,21.00161,21.46354,1.0005
23.04505,22.1085,22.16558,1.00078
21.97514,20.78213,21.49036,1.000561
22.72152,21.49846,22.16814,1.000236
22.57845,18.98031,20.24048,1.000099
18.39962,17.4227,17.63649,1.000208
22.63521,21.59565,22.08088,1.00055
23.72662,20.94863,22.52619,1.000579
23.90973,20.56507,21.87487,1.000242
22.23132,21.69317,21.76698,1.002234
22.92628,21.34056,21.80454,1.001747
23.95288,21.12426,21.97091,1.003564
20.5285,19.83016,20.1459,1.002166
